card_id,type,cosmetic_id,quantity
102041010,7,102041010,1
102041020,7,102041020,1
102141010,7,102141010,1
102241010,7,102241010,1
102341010,7,102341010,1
102442010,7,102442010,1
102541010,7,102541010,1
102641010,7,102641010,1
102743010,7,102743010,1
103041010,7,103041010,1
103041020,7,103041020,1
103141010,7,103141010,1
103241010,7,103241010,1
103341010,7,103341010,1
103441010,7,103441010,1
103541010,7,103541010,1
103641010,7,103641010,1
103741010,7,103741010,1
104041010,7,1040410100,1
104041020,7,1040410200,1
104141010,7,1041410100,1
104141020,7,1041410200,1
104241010,7,1042410100,1
104241020,7,1042410200,1
104341010,7,1043410100,1
104341020,7,1043410200,1
104441010,7,1044410100,1
104441020,7,1044410200,1
104541010,7,1045410100,1
104541020,7,1045410200,1
104641010,7,1046410100,1
104641020,7,1046410200,1
104741010,7,1047410100,1
104741020,7,1047410200,1
105041010,7,1050410100,1
105041020,7,1050410200,1
105141010,7,1051410100,1
105141020,7,1051410200,1
105241010,7,1052410100,1
105241020,7,1052410200,1
105341010,7,1053410100,1
105341020,7,1053410200,1
105441010,7,1054410100,1
105441020,7,1054410200,1
105541010,7,1055410100,1
105541020,7,1055410200,1
105641010,7,1056410100,1
105641020,7,1056410200,1
105741010,7,1057410100,1
105741020,7,1057410200,1
106041010,7,1060410100,1
106041020,7,1060410200,1
106141010,7,1061410100,1
106141020,7,1061410200,1
106241010,7,1062410100,1
106241020,7,1062410200,1
106341010,7,1063410100,1
106341020,7,1063410200,1
106441010,7,1064410100,1
106441020,7,1064410200,1
106541010,7,1065410100,1
106541020,7,1065410200,1
106641010,7,1066410100,1
106641020,7,1066410200,1
106741010,7,1067410100,1
106741020,7,1067410200,1
107041010,7,1070410100,1
107041020,7,1070410200,1
107141010,7,1071410100,1
107141020,7,1071410200,1
107241010,7,1072410100,1
107241020,7,1072410200,1
107341010,7,1073410100,1
107341020,7,1073410200,1
107441010,7,1074410100,1
107441020,7,1074410200,1
107541010,7,1075410100,1
107541020,7,1075410200,1
107641010,7,1076410100,1
107641020,7,1076410200,1
107741010,7,1077410100,1
107741020,7,1077410200,1
107841010,7,1078410100,1
107841020,7,1078410200,1
107841030,7,1078410300,1
108041010,7,1080410100,1
108044010,7,900041040,1
108044010,7,900041050,1
108141010,7,1081410100,1
108141020,7,1081410200,1
108141030,7,1081410300,1
108241010,7,1082410100,1
108241020,7,1082410200,1
108241030,7,1082410300,1
108341010,7,1083410100,1
