product_id,card_id,number,is_spot
1,701141011,1,0
1,102141010,1,0
1,101131020,1,0
1,102131030,1,0
1,101131050,1,0
1,102131020,1,0
1,102131010,1,0
1,101121020,2,0
1,101121010,2,0
1,101121080,3,0
1,102121010,2,0
1,102121030,2,0
1,101121110,2,0
1,101111010,3,0
1,101114050,3,0
1,101114010,2,0
1,102111060,2,0
1,100111010,2,0
1,100114010,3,0
1,100111020,3,0
1,100111070,2,0
2,701241011,1,0
2,101241020,1,0
2,102231010,1,0
2,101231050,1,0
2,101234020,1,0
2,101231040,1,0
2,101231020,1,0
2,102221010,3,0
2,102224040,2,0
2,101221010,2,0
2,101221070,2,0
2,101221100,2,0
2,101221060,2,0
2,101211110,2,0
2,101211090,2,0
2,101211060,2,0
2,101211070,2,0
2,102211050,2,0
2,100211010,3,0
2,100211020,3,0
2,100211040,2,0
2,100221020,2,0
3,701341011,1,0
3,101341010,1,0
3,102331010,1,0
3,101334040,1,0
3,101334030,1,0
3,102334020,1,0
3,101334020,1,0
3,101024010,3,0
3,101321040,2,0
3,102324040,2,0
3,101324040,2,0
3,101324050,2,0
3,101321070,2,0
3,101314010,3,0
3,101311010,2,0
3,101311050,2,0
3,101314020,3,0
3,100314010,2,0
3,100314040,2,0
3,100314020,2,0
3,100314030,2,0
3,100321010,2,0
4,701441011,1,0
4,101441010,1,0
4,101431040,1,0
4,101431030,1,0
4,102431010,1,0
4,101431050,1,0
4,101431020,1,0
4,101424010,2,0
4,101421080,3,0
4,101421020,2,0
4,102421020,2,0
4,102021030,2,0
4,101421070,2,0
4,101411110,2,0
4,102411020,3,0
4,101411030,3,0
4,101411070,2,0
4,100414020,3,0
4,100414010,3,0
4,100411040,2,0
4,100421020,2,0
5,701541011,1,0
5,102541010,1,0
5,101534020,1,0
5,101534010,1,0
5,102531010,1,0
5,101534030,1,0
5,101531050,1,0
5,101521010,2,0
5,101521020,2,0
5,102521040,3,0
5,101521030,2,0
5,102521010,2,0
5,101521060,2,0
5,101514010,2,0
5,101511120,3,0
5,102511010,3,0
5,102514050,2,0
5,100511010,3,0
5,100514010,2,0
5,100511040,3,0
5,100521030,2,0
6,701641011,1,0
6,102641010,1,0
6,102631030,1,0
6,101633010,1,0
6,101631040,1,0
6,101634020,1,0
6,101631050,1,0
6,101621070,2,0
6,101621030,2,0
6,102621010,2,0
6,101624010,3,0
6,101021040,2,0
6,101621050,2,0
